"method getString of class AbstractCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method d of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.039649114,0.080630273,0.002042428,-0.03736008,0.107120529,0.062665969,-0.000545697,0.020532949,0.046307817,0.071434006,0.063767776,0.064261317,0.065176718,-0.035081502,0.028250037,0.015828896,0.118418247,0.082552701,0.040857852,0.095255069,0.013705599,0.039649114,-0.014051369,0.186513424,0.045966409,0.140468627,0.062485661,0.012354111,0.013705599,0.03527306,-0.012493647,0.186729193,0.042743087,0.068324491,0.118418247,0.173319548,0.060637996,0.151449621,0.039507069,0.115760937,0.084720105,0.040397815,-0.031255707,-0.018338215,-0.033938959,0.210719764,0.054614358
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method d of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.832901478,0.828513026,0.816074669,0.827033222,0.865842342,0.891818941,0.842332959,0.882131994,0.850008309,0.837752342,0.828829944,0.892539561,0.904349446,0.835272312,0.880147278,0.894412756,0.886678457,0.863915563,0.908951998,0.882468224,0.834068179,0.832901478,0.843023658,0.881149888,0.871491492,0.906852663,0.868410468,0.869663298,0.834068179,0.824596822,0.833061159,0.833610713,0.875454605,0.833672464,0.886678457,0.875580072,0.888093352,0.888441205,0.828226686,0.885898113,0.857643843,0.880859077,0.887526989,0.873954177,0.87459904,0.871025145,0.894860446
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method d of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.56551963,0.55943036,0.55793464,0.55682904,0.55606705,0.5557916,0.56127423,0.527119,0.5570429,0.54989475,0.55112356,0.5319218,0.5330969,0.545936,0.53948945,0.54618883,0.5483014,0.5535983,0.5070761,0.52583104,0.5537368,0.56551963,0.5504978,0.5404445,0.5488042,0.57260627,0.5507555,0.5497208,0.5537368,0.5508365,0.55939126,0.5602294,0.54280597,0.5566133,0.5483014,0.5552526,0.536194,0.5407699,0.5528646,0.5391873,0.5571654,0.5405614,0.529456,0.55330664,0.54503447,0.5522798,0.53970814
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method d of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.057170115,0.107999012,0.062846892,0.042956285,0.221372321,0.05048652,0.056553613,0.041620582,0.101517238,0.085745819,0.064777568,0.128435731,0.020692449,-0.002198063,0.008243304,0.010527393,0.083388209,0.059352007,0.017582918,0.109404072,-0.003177695,0.057170115,-0.013368905,0.156022117,0.011433344,0.130982295,0.075915188,0.011159433,-0.003177695,0.062359184,0.004682205,0.213767499,0.03573421,0.109416112,0.083388209,0.15977779,0.070380405,0.131618902,0.056661703,0.098925352,0.127907515,0.055006098,-0.024686344,-0.014386909,0.030927856,0.229316577,0.053077716
"method d of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value cannot be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method d of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value cannot be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.104885109,0.106481329,0.001691874,-0.039889984,0.127153024,0.056525044,0.055669203,-0.00774334,0.1445584,0.046633296,0.094115041,0.046647616,0.057392724,0.017570693,0.108832203,0.032322988,0.030274596,0.07209453,0.06482558,0.027863642,0.007052043,0.104885109,0.050644901,0.103852153,-0.031859513,0.241519496,-0.016043145,0.00039649,0.007052043,0.048894461,0.114141963,0.08329872,0.029449508,0.072362967,0.030274596,0.135538727,0.062971063,0.051762104,0.071681403,0.076393224,0.124242239,0.06516134,-0.00489188,0.010975573,0.016071199,0.147047073,0.142828256
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method d of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value cannot be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.036958452,0.078558192,-0.009931415,-0.052621361,0.11294318,0.067963608,0.016906589,0.027827587,0.039474733,0.084363274,0.068975121,0.055389162,0.080324903,-0.041503359,0.0339562,0.039917812,0.124135911,0.107394993,0.067920737,0.089578733,-0.000144842,0.036958452,-0.012142194,0.206599042,0.010359451,0.132752746,0.064193517,0.001446547,-0.000144842,0.024866294,-0.033309873,0.179869413,0.031691071,0.071586102,0.124135911,0.147615254,0.065536357,0.158050969,0.03337891,0.132701308,0.081678219,0.038484421,-0.018871184,-0.013371342,-0.025292808,0.19188562,0.067118913
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method d of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value cannot be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.834060311,0.829447389,0.81752038,0.828022301,0.867664039,0.893000245,0.843814611,0.883280277,0.850918949,0.838832915,0.829537392,0.89418304,0.906933665,0.836562753,0.880648613,0.896150053,0.888218284,0.865409017,0.910871506,0.883389354,0.835330784,0.834060311,0.844286025,0.88354975,0.873195827,0.908624768,0.869515955,0.871893704,0.835330784,0.825786233,0.833240688,0.834276795,0.875968158,0.834174395,0.888218284,0.876994014,0.888598025,0.889225483,0.829455376,0.886434436,0.859367371,0.881456852,0.888844848,0.876647592,0.878118515,0.870908141,0.896222413
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method d of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value cannot be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.5085582,0.5026362,0.5011787,0.4887942,0.4944321,0.486717,0.4936917,0.44376966,0.48579088,0.48835677,0.47915047,0.43781257,0.4515654,0.46970809,0.4670086,0.47194335,0.48108754,0.4896579,0.41355607,0.44671243,0.48420748,0.5085582,0.48718786,0.45512742,0.4602736,0.52785623,0.49660364,0.48878247,0.48420748,0.487732,0.5035302,0.5004161,0.47493517,0.4955524,0.48108754,0.48713675,0.45794883,0.4736627,0.47184408,0.4488211,0.47871003,0.45651326,0.4471453,0.49346146,0.48344108,0.4933722,0.45101565
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method d of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value cannot be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.066971295,0.109171569,0.048299748,0.031506188,0.22025919,0.055184864,0.074060284,0.05930135,0.088620782,0.10315378,0.072009183,0.137905031,0.039451249,0.008013565,0.013777042,0.025807517,0.097411901,0.079550728,0.033919647,0.101562724,-0.011202672,0.066971295,-0.008917928,0.171175733,-0.016894089,0.154027879,0.087027118,0.010862761,-0.011202672,0.052624576,0.001491385,0.216533959,0.047827028,0.107926637,0.097411901,0.131290704,0.056660123,0.145762831,0.059491649,0.116589218,0.13248083,0.056034848,-0.01722946,0.015033741,0.048840754,0.199258626,0.070353426
"method e of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value cannot be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method e of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value cannot be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.105367884,0.099094614,-0.00870791,-0.006054834,0.133793607,0.056508109,0.063994721,-0.019872721,0.153832987,0.084017791,0.078481592,0.042412184,0.03177999,0.017309099,0.11821112,0.002323667,0.03705027,0.09641555,0.056897368,0.005199085,0.017123941,0.105367884,0.030833952,0.108155802,-0.03956145,0.23813805,0.007706188,-0.036947366,0.017123941,0.057959788,0.126286849,0.11782968,0.053882137,0.056811277,0.03705027,0.134587929,0.087742783,0.071540132,0.097823001,0.062412541,0.025473338,0.047843039,0.001703069,0.029841125,0.010477973,0.175167099,0.133713096
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method e of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value cannot be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.027307414,0.052323867,-0.026515273,-0.061403017,0.104112163,0.07685896,0.011977229,0.050289869,0.034407973,0.076676108,0.072669908,0.055783376,0.101497352,-0.060023014,0.03813836,0.036188878,0.116150536,0.114122622,0.077215105,0.074752465,-0.006185566,0.027307414,-0.024974147,0.198225513,-0.006425449,0.124764033,0.043115813,-0.022162288,-0.006185566,0.016831931,-0.051775597,0.1576913,0.010204927,0.065425873,0.116150536,0.138775408,0.054242931,0.158692002,0.049283832,0.130026966,-0.010970887,0.023154285,-0.003562305,-0.014099362,-0.024952786,0.183481231,0.07344728
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method e of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value cannot be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.834023416,0.829511881,0.817452312,0.828081071,0.867563128,0.892987311,0.843771636,0.883357942,0.850864112,0.838932991,0.829538822,0.894214272,0.906988859,0.836672008,0.880783916,0.896348953,0.888346374,0.865327656,0.91092056,0.883398414,0.835306406,0.834023416,0.844366789,0.883596241,0.873187363,0.908521533,0.869378388,0.871879518,0.835306406,0.8257761,0.833254874,0.834300399,0.876074195,0.834162831,0.888346374,0.877007127,0.888842225,0.889384627,0.829419076,0.886527658,0.859092236,0.881476462,0.888889849,0.87674576,0.878173351,0.870943725,0.896473289
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method e of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value cannot be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.5096374,0.50338763,0.502136,0.49084887,0.49583682,0.48737806,0.49436018,0.44559598,0.4865554,0.48945153,0.48001578,0.4388992,0.4517415,0.47028562,0.4670948,0.47248393,0.48151016,0.4909424,0.41398984,0.44748145,0.4858394,0.5096374,0.48762336,0.45538816,0.45962876,0.5283111,0.49758255,0.48415354,0.4858394,0.4889737,0.50435776,0.5018567,0.4753878,0.4979808,0.48151016,0.4876898,0.45857516,0.47430718,0.4748255,0.4488062,0.46313193,0.45842695,0.44840917,0.4946273,0.48547685,0.49417904,0.45336437
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method e of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value cannot be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.05547557,0.070686713,0.043080941,0.038012601,0.19527775,0.066180319,0.066869169,0.075334981,0.078933731,0.125227273,0.089198835,0.115366101,0.04716976,-0.01342093,0.012830269,-0.003495851,0.089488298,0.064687006,0.02952843,0.087521493,-0.011687653,0.05547557,-0.026197031,0.164800167,-0.034281321,0.139852419,0.08750239,-0.019141808,-0.011687653,0.047404662,-0.016037142,0.196115404,0.007979739,0.095234424,0.089488298,0.130779177,0.03600838,0.139496788,0.064340383,0.115941852,-0.017724413,0.062964551,-0.023129582,0.004010514,0.072885573,0.180568919,0.073025241
"method e of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method e of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.106246412,0.106356971,0.003989634,0.007529929,0.149406016,0.064375237,0.067766719,-0.015064152,0.14903897,0.0989452,0.071068347,0.016072642,0.034950748,0.019761385,0.119725108,-0.003071168,0.042174112,0.106025599,0.06206904,0.015401701,0.028063506,0.106246412,0.036596872,0.101967603,-0.031970769,0.219196916,0.011396511,-0.028462581,0.028063506,0.060585529,0.139671803,0.12474376,0.05172617,0.052763291,0.042174112,0.158062115,0.086186908,0.0724231,0.09197934,0.053932149,0.030034579,0.055708814,-0.014363734,0.023718091,0.002707867,0.206826702,0.127552778
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method e of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.031716079,0.052507609,-0.012614775,-0.043607429,0.101071179,0.067819722,-0.004719449,0.044645719,0.041522279,0.064716436,0.069774821,0.069724455,0.088234007,-0.051095389,0.03248762,0.010617845,0.10828729,0.088669427,0.04919821,0.08283937,0.00959149,0.031716079,-0.023322979,0.176238731,0.034046154,0.135761112,0.045770831,-0.008206729,0.00959149,0.027925378,-0.028762139,0.167111441,0.024267554,0.05863744,0.10828729,0.168110088,0.050397057,0.152245894,0.056888178,0.112791047,-0.005748342,0.030080345,-0.017267663,-0.018422009,-0.032097537,0.205362529,0.05959158
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method e of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.832710207,0.828429818,0.815858483,0.82692951,0.865627289,0.891693652,0.842157781,0.882115304,0.849806786,0.837703049,0.828676462,0.892467499,0.904328883,0.835213006,0.880158365,0.894499302,0.886697352,0.863713086,0.908930123,0.882371783,0.833888173,0.832710207,0.84295857,0.881065547,0.871364832,0.906663299,0.868170977,0.869517744,0.833888173,0.824428082,0.832932413,0.833489537,0.875442922,0.833517909,0.886697352,0.875458002,0.88822031,0.888486385,0.828040957,0.88587147,0.8572523,0.880770683,0.887464464,0.873920739,0.874527812,0.870938182,0.895019054
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method e of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.5661402,0.5598188,0.5583804,0.5584295,0.5567427,0.55627644,0.5615775,0.5287912,0.5577793,0.5503681,0.5515367,0.5327055,0.53324455,0.5464311,0.540071,0.5463512,0.5488007,0.5539805,0.5075975,0.52638465,0.55536276,0.5661402,0.55057627,0.54107434,0.54890007,0.5725212,0.55089426,0.5465601,0.55536276,0.551945,0.55996186,0.5609112,0.54312676,0.5576533,0.5488007,0.55572206,0.53672194,0.541385,0.55392563,0.5396081,0.5524275,0.5413277,0.52986467,0.55379826,0.5467767,0.55274,0.54199266
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method e of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.045823291,0.070202872,0.05491709,0.050446454,0.19631426,0.060656667,0.050429277,0.06017901,0.093111962,0.109584659,0.084223092,0.106397286,0.030695926,-0.02355488,0.007725435,-0.018577656,0.078048661,0.044593204,0.011620041,0.097359188,-0.002399165,0.045823291,-0.030980598,0.150446028,-0.00770188,0.120104253,0.075831831,-0.019682154,-0.002399165,0.056321613,-0.012769298,0.194157541,-0.00223906,0.095643632,0.078048661,0.160781026,0.050846972,0.129385009,0.060891692,0.098868757,-0.023554944,0.064014561,-0.029153474,-0.027417663,0.055490021,0.209935308,0.055867512
"method w of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method w of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.10988199,0.102721684,0.026810749,0.016549084,0.166289747,0.049440436,0.055371258,-0.01607877,0.140646219,0.033229209,0.068167143,-0.002556723,0.031287044,0.040690146,0.113522395,-0.004288531,0.015190046,0.080826163,0.063147731,0.034646973,0.005732421,0.10988199,0.047302149,0.108289577,-0.020763941,0.204613015,-0.011008276,-0.020437514,0.005732421,0.066336349,0.152474523,0.124849543,0.070547342,0.059233401,0.015190046,0.171859622,0.04372688,0.042963699,0.083673202,0.061402533,0.046685725,0.093860626,-0.042313538,0.016023207,0.015059885,0.221812204,0.11952094
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method w of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.036217853,0.0567469,-0.000940459,-0.051082674,0.088845022,0.079144828,0.016961802,0.052338026,0.079314008,0.028661815,0.050277829,0.054121338,0.056807823,-0.033846863,0.007133502,0.017468337,0.108137116,0.069131345,0.035744261,0.083893791,0.01489882,0.036217853,-0.024016781,0.190387279,0.055389293,0.181997493,0.06274765,-0.015240766,0.01489882,0.033738919,-0.00919427,0.15075855,0.033685781,0.092997313,0.108137116,0.194217205,0.034740578,0.137695864,0.066591427,0.085396431,0.00377931,0.02571686,-0.002397835,-0.033760898,-0.018808823,0.195842355,0.047153447
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method w of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.836114407,0.831656575,0.819976926,0.830946326,0.868504226,0.894420743,0.845203459,0.885429859,0.853027284,0.840422332,0.832165122,0.895327628,0.906767964,0.838777661,0.88258636,0.897628307,0.889339447,0.867716789,0.912035704,0.885049939,0.837756276,0.836114407,0.846354842,0.885296822,0.875354052,0.910606742,0.871267378,0.873291373,0.837756276,0.828250885,0.835747361,0.836883426,0.877734005,0.836550474,0.889339447,0.880082428,0.889988601,0.890899956,0.831802189,0.888882697,0.86070329,0.883648932,0.890427351,0.878624618,0.879746675,0.87370044,0.896776378
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method w of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.51366615,0.50536424,0.5137272,0.48969027,0.49636593,0.478916,0.4734482,0.37006015,0.4757863,0.49064875,0.47707358,0.3604932,0.38233864,0.45830977,0.4216704,0.44661987,0.44076502,0.48931146,0.38097578,0.38711756,0.47853753,0.51366615,0.48141333,0.39420995,0.40881976,0.54142493,0.49705067,0.4661999,0.47853753,0.46256903,0.5043772,0.51229525,0.45240113,0.5010888,0.44076502,0.52681375,0.45599702,0.41475043,0.43879113,0.4213422,0.4381044,0.38984668,0.39600676,0.49073428,0.4586924,0.49270263,0.43012124
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method w of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.059246786,0.073100746,0.076909319,0.038983069,0.155663058,0.046251066,0.060963687,0.049138125,0.12009158,0.066103116,0.052222826,0.096980214,0.01105896,-0.015148792,-0.026351579,-0.027132288,0.04278557,0.054906942,0.010340173,0.103769079,-0.01046259,0.059246786,-0.035503112,0.158819258,0.015997967,0.133409679,0.08550401,-0.037525915,-0.01046259,0.070117369,0.001829007,0.159015119,0.015685044,0.111576408,0.04278557,0.154284596,0.032434002,0.084933877,0.043334816,0.061014071,-0.022162702,0.065822892,-0.005713876,-0.04720024,0.021069849,0.202109337,0.022375699
"method w of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method w of class Log has parameters tag String : Used to identify the source of a log message.  It usually identifies
the class or activity where the log call occurs.
This value may be null . |||
msg String : The message you would like logged.
This value may be null . |||
tr Throwable : An exception to log.
This value may be null . ||| returns int A positive value if the message was loggable (see isLoggable(String int) ). |||",0.118919402,0.095491007,0.012242939,0.006140128,0.151463866,0.064908236,0.056466572,-0.021548305,0.15569073,0.045714855,0.072142869,0.002264408,0.023363693,0.02646761,0.119044378,0.00356755,0.028710604,0.074802294,0.055318642,0.034662001,0.010626312,0.118919402,0.041570883,0.102045342,-0.024447564,0.207920253,-0.008157514,-0.024057806,0.010626312,0.046802565,0.153640777,0.116055898,0.062015679,0.061962605,0.028710604,0.155048281,0.05044404,0.057327271,0.083292648,0.054646291,0.030622287,0.079339109,-0.023740713,0.01481742,0.016543694,0.218897998,0.123979688
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
